Battery,Car_name,Efficiency,Fast_charge,Price,Range,Top_speed,Acceleration
75,Tesla Model Y Long Range Dual Motor,172,670,2091562.48,435,217,5
57.5,Tesla Model 3,137,700,1638036.8,420,201,6.1
60.5,BYD ATTO 3,183,370,1581510,330,160,7.3
61.7,MG MG4 Electric 64 kWh,171,630,1417245.6,360,160,7.9
75,Tesla Model 3 Long Range Dual Motor,149,780,1956996.8,505,201,4.4
57.5,Tesla Model Y,164,580,1685774.48,350,217,6.9
71,BMW iX xDrive40,197,480,2739512,360,200,6.1
64,Volvo EX30 Single Motor ER,173,550,1481037.6,370,180,5.3
44,Citroen e-C3,176,320,825752,250,135,11
82.5,BYD SEAL 82.5 kWh AWD Excellence,170,530,1901993.92,485,180,3.8
80.7,BMW i4 eDrive40,157,800,2098048,515,190,5.7
60,Renault Megane E-Tech EV60 220hp,158,530,1651504,380,160,7.4
64.7,BMW iX1 xDrive30,170,550,1949200,380,180,5.6
64,Hyundai Kona Electric 64 kWh,164,370,1520376,390,167,7.9
75,Tesla Model Y Performance,181,640,2256358.48,415,250,3.7
64.8,Kia Niro EV,168,390,1619253.6,385,167,7.8
95,Tesla Model S Plaid,170,780,3932776.8,560,282,2.1
74,BMW iX3,192,520,2385112,385,180,6.8
37.3,Fiat 500e Hatchback 42 kWh,159,390,1240045.6,235,150,9
85.4,BYD HAN,180,450,2509329.2,475,180,3.9
95,Tesla Model S Dual Motor,165,800,3401176.8,575,250,3.2
60.5,BYD DOLPHIN 60.4 kWh,178,340,1275485.6,340,160,7
58,CUPRA Born 150 kW - 58 kWh,166,470,1395272.8,350,160,7.3
25,Dacia Spring Electric 45,152,180,799172,165,125,19.1
81.2,BMW i5 eDrive40 Sedan,171,710,2487888,475,193,6
80.7,BMW i4 M50,179,700,2509152,450,225,3.9
50.8,Opel Astra Electric,167,490,1488125.6,305,170,9.2
68.3,MG ZS EV Long Range,185,420,1346365.6,370,175,8.4
